CPF,Prioridade,Tempo_Espera
00000006618,3,3036,3679,643
00000000016,2,3040,3682,642
00000006797,2,3030,3671,641
00000007632,1,3031,3672,641
00000007876,2,3032,3673,641
00000007824,1,3035,3676,641
00000006621,2,3042,3683,641
00000006760,1,3023,3662,639
00000006995,1,3029,3668,639
00000004396,3,3022,3660,638
00000005403,2,3021,3654,633
00000001658,3,3014,3645,631
00000000563,1,3011,3641,630
00000002042,1,3019,3647,628
00000001757,1,3004,3631,627
00000001667,3,2927,3552,625
00000006212,2,2929,3554,625
00000000336,1,3003,3628,625
00000000082,2,3008,3633,625
00000000908,2,2924,3548,624
00000000174,3,2926,3550,624
00000002313,1,3010,3634,624
00000007000,1,2893,3516,623
00000007132,3,2923,3546,623
00000000642,2,2892,3514,622
00000003443,2,2920,3541,621
00000005572,3,2922,3543,621
00000003763,2,3000,3621,621
00000002056,2,3001,3622,621
00000005621,3,2901,3521,620
00000005198,1,2915,3535,620
00000003920,1,2918,3538,620
00000003662,1,2919,3539,620
00000002589,3,2900,3519,619
00000004598,1,2906,3525,619
00000004481,1,2910,3529,619
00000003253,3,2912,3531,619
00000006790,1,2913,3532,619
00000007836,1,2917,3536,619
00000004109,3,2936,3555,619
00000007147,2,2937,3556,619
00000002618,3,2971,3590,619
00000007543,1,2908,3526,618
00000005292,3,2939,3557,618
00000006129,2,2940,3558,618
00000000226,2,2956,3574,618
00000000524,1,2957,3575,618
00000000427,3,2977,3595,618
00000004307,2,2995,3613,618
00000006942,1,2999,3617,618
00000000483,1,2883,3500,617
00000007657,3,2884,3501,617
00000005780,2,2887,3504,617
00000006744,1,2905,3522,617
00000000626,3,2955,3572,617
00000007288,3,2959,3576,617
00000000576,3,2963,3580,617
00000006389,2,2979,3596,617
00000001126,1,2994,3611,617
00000000818,3,2865,3481,616
00000000041,2,2891,3507,616
00000002452,2,2962,3578,616
00000000062,1,2965,3581,616
00000000960,2,2970,3586,616
00000000033,3,2981,3597,616
00000002188,3,2983,3599,616
00000002270,3,2863,3478,615
00000001284,1,2864,3479,615
00000003494,2,2967,3582,615
00000003910,3,2976,3591,615
00000004326,1,2992,3607,615
00000001544,3,2862,3476,614
00000002263,3,2870,3484,614
00000006272,2,2873,3487,614
00000003157,3,2881,3495,614
00000004340,2,2946,3560,614
00000005593,2,2952,3566,614
00000007587,1,2986,3600,614
00000006339,3,2987,3601,614
00000005996,1,2991,3605,614
00000003306,2,2846,3459,613
00000002458,1,2850,3463,613
00000001981,2,2851,3464,613
00000000448,2,2852,3465,613
00000004016,1,2872,3485,613
00000000890,2,2954,3567,613
00000001895,2,2849,3461,612
00000001790,2,2861,3473,612
00000003583,3,2876,3488,612
00000006151,2,2949,3561,612
00000001705,1,2990,3602,612
00000007167,2,2843,3454,611
00000006160,1,2860,3471,611
00000004945,1,2951,3562,611
00000003239,2,2842,3452,610
00000001987,1,2857,3467,610
00000002057,2,2858,3468,610
00000005779,1,2859,3469,610
00000003484,2,2879,3489,610
00000003259,3,2880,3490,610
00000003644,3,2835,3443,608
00000001203,1,2838,3446,608
00000001392,2,2817,3421,604
00000006861,1,2834,3438,604
00000000442,3,2816,3419,603
00000005358,3,2819,3422,603
00000000261,1,2814,3416,602
00000003236,1,2815,3417,602
00000000072,2,2821,3423,602
00000006485,3,2826,3428,602
00000006201,1,2829,3431,602
00000002911,1,2831,3433,602
00000007261,2,2832,3434,602
00000006580,1,2785,3386,601
00000001904,2,2786,3387,601
00000006168,3,2788,3389,601
00000000719,3,2789,3390,601
00000006928,2,2812,3413,601
00000007085,1,2824,3425,601
00000001390,1,2792,3392,600
00000000007,3,2811,3410,599
00000000081,3,2769,3367,598
00000000917,2,2770,3368,598
00000006133,3,2784,3381,597
00000006878,2,2780,3376,596
00000006753,3,2783,3379,596
00000003988,3,2774,3369,595
00000000017,3,2775,3370,595
00000006337,1,2798,3393,595
00000004794,3,2810,3405,595
00000001010,3,2778,3372,594
00000006526,3,2800,3394,594
00000003845,2,2801,3395,594
00000003668,3,2808,3402,594
00000000194,2,2809,3403,594
00000004073,1,2805,3398,593
00000006038,2,2807,3400,593
00000006425,3,2804,3396,592
00000003945,2,2768,3359,591
00000000516,1,2767,3356,589
00000004777,1,2764,3350,586
00000005976,1,2765,3351,586
00000000084,2,2766,3352,586
00000004241,3,2756,3340,584
00000002998,3,2719,3302,583
00000004112,1,2720,3303,583
00000006068,3,2761,3344,583
00000001340,2,2755,3337,582
00000004204,3,2718,3299,581
00000003812,1,2749,3329,580
00000002443,2,2750,3330,580
00000003053,2,2751,3331,580
00000001961,1,2752,3332,580
00000002132,3,2753,3333,580
00000005176,2,2707,3286,579
00000000121,2,2708,3287,579
00000001974,2,2710,3289,579
00000007077,3,2741,3320,579
00000005839,3,2743,3322,579
00000002580,1,2717,3295,578
00000002280,2,2732,3309,577
00000003909,3,2746,3323,577
00000006619,1,2715,3291,576
00000001373,2,2716,3292,576
00000001558,2,2740,3316,576
00000007464,2,2748,3324,576
00000007136,1,2701,3276,575
00000006315,1,2729,3304,575
00000003900,1,2703,3277,574
00000000597,2,2704,3278,574
00000005979,1,2705,3279,574
00000001779,2,2706,3280,574
00000000053,1,2731,3305,574
00000006712,3,2737,3311,574
00000006914,2,2739,3312,573
00000006954,3,2684,3252,568
00000006149,2,2691,3259,568
00000001049,3,2692,3260,568
00000000066,1,2693,3261,568
00000007347,1,2690,3257,567
00000000612,2,2695,3262,567
00000001338,1,2696,3263,567
00000002505,1,2699,3266,567
00000002725,1,2700,3267,567
00000006268,2,2687,3253,566
00000002864,2,2682,3245,563
00000004497,3,2678,3240,562
00000000648,1,2681,3243,562
00000001253,2,2668,3227,559
00000003023,3,2670,3228,558
00000006520,1,2673,3231,558
00000004602,2,2675,3232,557
00000004964,2,2676,3233,557
